date,open,high,low,close,pre_close,volume
2011-10-17,2658.947,2687.102,2653.384,2666.951,2653.782,3615831500.0
2011-10-18,2646.841,2651.732,2589.205,2592.209,2666.951,3937344800.0
2011-10-19,2599.917,2617.411,2580.663,2583.081,2592.209,3111616600.0
2011-10-20,2566.603,2570.101,2500.486,2520.532,2583.081,3984246200.0
2011-10-21,2522.257,2538.117,2504.693,2507.877,2520.532,2984350300.0
2011-10-24,2517.059,2581.125,2501.956,2576.669,2507.877,4634580100.0
2011-10-25,2572.708,2633.968,2560.047,2625.425,2576.669,5796737500.0
2011-10-26,2613.272,2679.658,2611.012,2651.652,2625.425,7309824000.0
2011-10-27,2658.428,2672.84,2647.296,2657.478,2651.652,4882039100.0
2011-10-28,2694.542,2729.139,2689.376,2709.017,2657.478,7164310500.0
2011-10-31,2704.535,2709.317,2680.992,2695.307,2709.017,5040711200.0
2011-11-01,2672.508,2726.088,2669.05,2697.534,2695.307,5520665100.0
2011-11-02,2658.547,2742.938,2653.722,2742.39,2697.534,6436158400.0
2011-11-03,2752.627,2781.039,2743.196,2744.301,2742.39,8482076000.0
2011-11-04,2770.572,2781.99,2748.978,2763.746,2744.301,6195821800.0
2011-11-07,2750.991,2769.296,2733.168,2736.248,2763.746,4537505600.0
2011-11-08,2745.059,2756.091,2723.693,2727.71,2736.248,4788425200.0
2011-11-09,2739.154,2755.811,2710.054,2751.654,2727.71,4687796000.0
2011-11-10,2720.836,2729.572,2698.306,2699.588,2751.654,5117370200.0
2011-11-11,2705.243,2713.914,2685.101,2695.002,2699.588,3663669600.0
2011-11-14,2717.544,2751.88,2714.862,2750.195,2695.002,4639094300.0
2011-11-15,2746.773,2754.001,2732.913,2744.68,2750.195,4175986400.0
2011-11-16,2745.858,2746.29,2659.148,2670.116,2744.68,5594923900.0
2011-11-17,2671.953,2687.831,2660.651,2662.017,2670.116,3524765200.0
2011-11-18,2643.667,2646.209,2601.179,2606.495,2662.017,4241471800.0
2011-11-21,2608.556,2613.262,2587.742,2609.687,2606.495,2797189600.0
2011-11-22,2592.229,2611.15,2580.781,2609.475,2609.687,2906907800.0
2011-11-23,2613.291,2617.088,2578.157,2584.011,2609.475,2853141200.0
2011-11-24,2565.686,2604.236,2557.695,2588.915,2584.011,3031960100.0
2011-11-25,2585.137,2598.392,2563.65,2569.973,2588.915,2391376600.0
2011-11-28,2578.344,2589.354,2562.493,2573.321,2569.973,2566693600.0
2011-11-29,2595.086,2609.187,2580.293,2608.569,2573.321,3002587800.0
2011-11-30,2600.099,2601.9,2507.184,2521.52,2608.569,4235264500.0
2011-12-01,2596.153,2630.664,2577.722,2583.613,2521.52,6352025200.0
2011-12-02,2570.56,2575.692,2543.532,2557.311,2583.613,3218370300.0
2011-12-05,2561.2,2561.2,2517.179,2521.385,2557.311,3206338800.0
2011-12-06,2515.044,2525.666,2499.574,2516.341,2521.385,2629758100.0
2011-12-07,2517.341,2534.529,2509.777,2528.228,2516.341,2326183900.0
2011-12-08,2525.041,2549.101,2494.694,2525.001,2528.228,2777774400.0
2011-12-09,2506.624,2525.162,2496.972,2503.461,2525.001,2402905900.0
2011-12-12,2497.922,2502.046,2476.116,2477.692,2503.461,2190124900.0
2011-12-13,2467.016,2472.656,2418.673,2421.928,2477.692,3571753400.0
2011-12-14,2415.944,2433.55,2392.299,2397.48,2421.928,2532010900.0
2011-12-15,2382.441,2384.473,2340.447,2340.788,2397.48,3675083400.0
2011-12-16,2339.976,2390.378,2332.14,2390.129,2340.788,3630233900.0
2011-12-19,2370.418,2387.89,2321.657,2384.408,2390.129,3790975200.0
2011-12-20,2376.709,2412.572,2373.86,2377.073,2384.408,3240232700.0
2011-12-21,2397.275,2404.775,2337.693,2339.108,2377.073,3120952500.0
2011-12-22,2325.27,2358.468,2294.607,2341.335,2339.108,3668385800.0
2011-12-23,2337.382,2382.709,2331.958,2359.159,2341.335,3316190400.0
2011-12-26,2345.555,2369.818,2334.794,2335.702,2359.159,2822408700.0
2011-12-27,2332.826,2346.384,2302.411,2305.035,2335.702,2927731400.0
2011-12-28,2295.866,2309.645,2267.114,2307.928,2305.035,3288202000.0
2011-12-29,2297.288,2323.488,2293.872,2311.361,2307.928,3088770000.0
2011-12-30,2318.673,2349.029,2318.673,2345.742,2311.361,3586524300.0
2012-01-04,2361.499,2365.988,2298.298,2298.753,2345.742,3434456700.0
2012-01-05,2290.78,2316.657,2272.153,2276.385,2298.753,4301648000.0
2012-01-06,2274.352,2291.885,2254.567,2290.601,2276.385,3519899200.0
2012-01-09,2291.182,2368.889,2271.717,2368.57,2290.601,5472734100.0
2012-01-10,2365.768,2449.955,2361.281,2447.349,2368.57,8115498900.0
2012-01-11,2444.757,2453.146,2423.322,2435.608,2447.349,5870567400.0
2012-01-12,2426.82,2464.378,2423.321,2435.219,2435.608,4712127500.0
2012-01-13,2438.405,2445.787,2374.545,2394.334,2435.219,4551399700.0
2012-01-16,2376.953,2394.498,2345.633,2345.649,2394.334,3052714500.0
2012-01-17,2347.568,2462.429,2329.248,2460.601,2345.649,6420564800.0
2012-01-18,2464.92,2485.498,2414.527,2422.189,2460.601,6389235800.0
2012-01-19,2423.857,2480.206,2414.985,2468.35,2422.189,5561572600.0
2012-01-20,2476.73,2510.34,2462.594,2504.086,2468.35,5452978300.0
2012-01-30,2508.877,2508.877,2460.396,2460.72,2504.086,4351714800.0
2012-01-31,2462.338,2472.839,2447.768,2464.26,2460.72,3070150100.0
2012-02-01,2458.233,2481.664,2423.45,2428.994,2464.26,3501537400.0
2012-02-02,2437.47,2486.238,2429.709,2486.238,2428.994,4206698500.0
2012-02-03,2478.336,2514.645,2470.28,2506.09,2486.238,4994924000.0
2012-02-06,2511.172,2520.758,2488.709,2504.322,2506.09,4507990500.0
2012-02-07,2489.032,2489.032,2441.698,2457.954,2504.322,3967916400.0
2012-02-08,2456.422,2534.162,2450.999,2528.236,2457.954,5618645600.0
2012-02-09,2525.589,2546.025,2513.131,2529.231,2528.236,5929975100.0
2012-02-10,2521.676,2560.027,2521.155,2533.624,2529.231,6157587700.0
2012-02-13,2504.41,2553.446,2496.305,2531.981,2533.624,5191397300.0
2012-02-14,2528.967,2533.264,2506.537,2522.107,2531.981,4043010100.0
2012-02-15,2515.829,2562.071,2511.289,2549.607,2522.107,5809037000.0
2012-02-16,2544.641,2559.345,2519.043,2536.074,2549.607,5439543100.0
2012-02-17,2551.815,2558.345,2522.856,2537.086,2536.074,3899471600.0
2012-02-20,2571.907,2574.746,2539.904,2540.706,2537.086,5615332900.0
2012-02-21,2544.835,2562.909,2520.786,2562.453,2540.706,4789480800.0
2012-02-22,2564.315,2598.863,2560.343,2597.476,2562.453,7637665600.0
2012-02-23,2595.779,2614.537,2590.518,2606.256,2597.476,7037712600.0
2012-02-24,2607.339,2648.017,2602.776,2648.017,2606.256,8599970800.0
2012-02-27,2658.121,2693.843,2656.573,2656.573,2648.017,10151403400.0
2012-02-28,2652.342,2671.833,2641.459,2662.463,2656.573,7759253600.0
2012-02-29,2655.858,2666.647,2631.784,2634.143,2662.463,5912020600.0
2012-03-01,2622.737,2647.785,2621.858,2633.345,2634.143,4214844100.0
2012-03-02,2637.961,2679.934,2637.961,2679.934,2633.345,6412203400.0
2012-03-05,2687.74,2694.612,2660.955,2662.698,2679.934,7139545800.0
2012-03-06,2654.799,2657.963,2615.6,2621.052,2662.698,6244714800.0
2012-03-07,2596.479,2628.585,2594.128,2603.005,2621.052,5694873300.0
2012-03-08,2612.403,2645.953,2612.403,2635.791,2603.005,5754941300.0
2012-03-09,2644.1,2664.414,2631.406,2664.302,2635.791,5525892100.0
2012-03-12,2663.243,2666.432,2636.423,2654.402,2664.302,6232721600.0
2012-03-13,2653.681,2681.334,2649.169,2681.073,2654.402,5840446900.0
2012-03-14,2694.475,2705.754,2595.342,2605.106,2681.073,10842654000.0
2012-03-15,2602.661,2618.252,2575.437,2585.546,2605.106,7256596000.0
2012-03-16,2591.8,2624.316,2577.245,2623.52,2585.546,5809125900.0
2012-03-19,2617.662,2631.045,2598.63,2630.013,2623.52,5764662500.0
2012-03-20,2622.66,2622.66,2584.024,2584.445,2630.013,5811406500.0
2012-03-21,2597.375,2613.269,2569.075,2587.793,2584.445,5800254400.0
2012-03-22,2586.938,2599.244,2570.446,2583.747,2587.793,4492677700.0
2012-03-23,2575.327,2578.825,2544.525,2552.94,2583.747,4332925600.0
2012-03-26,2551.425,2562.929,2540.696,2555.442,2552.94,3181621100.0
2012-03-27,2565.551,2571.899,2544.373,2547.143,2555.442,3594460400.0
2012-03-28,2538.458,2540.417,2471.034,2474.9,2547.143,5000579000.0
2012-03-29,2463.688,2476.478,2429.732,2443.122,2474.9,4613130400.0
2012-03-30,2447.939,2461.977,2438.488,2454.899,2443.122,3702708600.0
2012-04-05,2449.208,2517.386,2441.269,2512.832,2454.899,5433168700.0
2012-04-06,2509.445,2525.534,2502.703,2519.83,2512.832,4236857600.0
2012-04-09,2510.533,2518.378,2491.592,2495.146,2519.83,3537098600.0
2012-04-10,2490.283,2519.812,2459.348,2519.788,2495.146,4133590500.0
2012-04-11,2494.517,2541.126,2489.325,2520.036,2519.788,4251031000.0
2012-04-12,2522.828,2570.842,2516.568,2570.436,2520.036,5648840900.0
2012-04-13,2575.052,2593.788,2570.035,2580.454,2570.436,5309264300.0
2012-04-16,2564.231,2586.198,2559.781,2574.044,2580.454,4083970000.0
2012-04-17,2572.364,2578.76,2541.535,2541.883,2574.044,3781546700.0
2012-04-18,2550.905,2602.106,2545.996,2599.908,2541.883,5868840800.0
2012-04-19,2598.329,2606.86,2585.301,2596.056,2599.908,4644810900.0
2012-04-20,2591.51,2627.375,2589.351,2626.839,2596.056,6144637900.0
2012-04-23,2624.751,2632.092,2599.112,2606.038,2626.839,5866493800.0
2012-04-24,2594.801,2640.295,2559.464,2604.866,2606.038,7113955800.0
2012-04-25,2598.228,2631.438,2593.327,2625.99,2604.866,6246805300.0
2012-04-26,2632.718,2643.768,2617.089,2631.487,2625.99,5896566700.0
2012-04-27,2630.549,2637.918,2623.598,2626.157,2631.487,4823358600.0
2012-05-02,2660.673,2697.949,2643.527,2683.487,2626.157,8014865400.0
2012-05-03,2679.517,2693.88,2675.811,2691.518,2683.487,5936109000.0
2012-05-04,2689.624,2716.033,2677.14,2715.879,2691.518,6321808600.0
2012-05-07,2699.447,2717.778,2694.321,2717.778,2715.879,6854731400.0
2012-05-08,2717.408,2717.825,2683.562,2709.116,2717.778,6311084000.0
2012-05-09,2685.187,2685.187,2655.322,2657.514,2709.116,5840028300.0
2012-05-10,2657.87,2667.675,2649.38,2657.214,2657.514,4696257600.0
2012-05-11,2652.313,2666.566,2636.523,2636.917,2657.214,4100614300.0
2012-05-14,2653.806,2656.284,2613.349,2615.534,2636.917,5208248400.0
2012-05-15,2597.644,2618.175,2591.598,2617.374,2615.534,4576727100.0
2012-05-16,2610.161,2612.625,2574.082,2574.647,2617.374,4328027400.0
2012-05-17,2577.961,2619.589,2571.201,2613.942,2574.647,4372838900.0
2012-05-18,2595.547,2603.191,2567.302,2573.976,2613.942,4342212400.0
2012-05-21,2572.369,2604.219,2563.973,2587.231,2573.976,3860209000.0
2012-05-22,2598.167,2627.602,2597.603,2627.525,2587.231,4277352900.0
2012-05-23,2621.786,2635.78,2598.29,2616.869,2627.525,4371953100.0
2012-05-24,2613.095,2630.414,2588.209,2595.26,2616.869,4284406600.0
2012-05-25,2595.261,2602.17,2565.647,2573.103,2595.26,3927300400.0
2012-05-28,2562.596,2614.849,2545.336,2614.689,2573.103,5633927500.0
2012-05-29,2615.145,2658.255,2612.564,2650.854,2614.689,7213563700.0
2012-05-30,2646.37,2655.163,2636.518,2642.258,2650.854,5185543600.0
2012-05-31,2623.158,2645.591,2617.228,2632.042,2642.258,4410746900.0
2012-06-01,2633.601,2653.857,2623.289,2632.998,2632.042,4419105600.0
2012-06-04,2598.733,2608.316,2558.92,2559.026,2632.998,5247850200.0
2012-06-05,2565.186,2573.887,2548.76,2558.842,2559.026,3777991000.0
2012-06-06,2564.226,2573.739,2547.334,2557.401,2558.842,3385769400.0
2012-06-07,2579.425,2584.039,2536.258,2542.184,2557.401,3484118600.0
2012-06-08,2558.843,2559.128,2520.409,2524.329,2542.184,4385642600.0
2012-06-11,2529.599,2565.429,2523.774,2558.265,2524.329,4009826000.0
2012-06-12,2543.765,2553.915,2529.951,2540.178,2558.265,3793667600.0
2012-06-13,2546.791,2581.115,2539.632,2580.636,2540.178,4501456800.0
2012-06-14,2573.329,2584.709,2558.565,2560.421,2580.636,4024793400.0
2012-06-15,2565.189,2580.17,2538.572,2568.054,2560.421,4278607800.0
2012-06-18,2576.629,2593.218,2572.987,2581.212,2568.054,3569362800.0
2012-06-19,2577.362,2577.362,2556.103,2558.621,2581.212,3270055300.0
2012-06-20,2563.643,2570.663,2549.438,2552.611,2558.621,2985063900.0
2012-06-21,2547.048,2547.048,2502.419,2512.185,2552.611,3539673200.0
2012-06-25,2501.163,2501.163,2455.008,2456.518,2512.185,4010673500.0
2012-06-26,2442.562,2465.12,2434.64,2454.915,2456.518,3173400800.0
2012-06-27,2452.666,2470.762,2444.343,2447.195,2454.915,3000755300.0
2012-06-28,2451.664,2459.189,2425.24,2425.729,2447.195,3054311300.0
2012-06-29,2418.862,2462.815,2417.486,2461.612,2425.729,3799494100.0
2012-07-02,2473.545,2473.966,2452.986,2465.238,2461.612,4051007800.0
2012-07-03,2464.85,2490.547,2457.449,2468.721,2465.238,3869335400.0
2012-07-04,2474.527,2481.336,2455.995,2464.919,2468.721,3445214200.0
2012-07-05,2450.3,2450.3,2420.001,2430.37,2464.919,3472614500.0
2012-07-06,2435.059,2477.231,2420.356,2472.614,2430.37,4961060500.0
2012-07-09,2455.892,2470.205,2414.953,2416.036,2472.614,4922330200.0
2012-07-10,2411.003,2426.529,2402.371,2406.706,2416.036,3554998400.0
